symbol,name,exchange,sector,industry_group,prototype_score,market_cap_bucket,region,risk_bucket,style_factors,dividend_profile,ipo_year,evidence
"AAPL","Apple Inc.","NASDAQ","Technology","Hardware","0.7","Mega","US","Medium Volatility","Growth","Moderate","1980","Hardware + services mix; NASDAQ listing."
"MSFT","Microsoft Corporation","NASDAQ","Technology","Software","0.88","Mega","US","Low Volatility","Growth","Growing","1986","Scaled subscription + cloud software; NASDAQ listing."
"AMZN","Amazon.com, Inc.","NASDAQ","Consumer Discretionary","Internet Retail","0.8","Mega","US","Medium Volatility","Growth","None","1997","E-commerce and AWS; NASDAQ listing."
"GOOGL","Alphabet Inc.","NASDAQ","Communication Services","Internet Content & Information","0.82","Mega","US","Medium Volatility","Growth","None","2004","Search, ads, cloud; NASDAQ listing."
"META","Meta Platforms, Inc.","NASDAQ","Communication Services","Interactive Media","0.79","Mega","US","High Volatility","Growth|Momentum","None","2012","Social platforms and ads; NASDAQ listing."
"NVDA","NVIDIA Corporation","NASDAQ","Technology","Semiconductors","0.95","Mega","US","High Volatility","Growth|Momentum","Low","1999","GPU/AI leader; NASDAQ listing."
"TSLA","Tesla, Inc.","NASDAQ","Consumer Discretionary","Automobiles","0.68","Mega","US","High Volatility","Momentum","None","2010","EVs and energy storage; NASDAQ listing."
"BRK.B","Berkshire Hathaway Inc.","NYSE","Financials","Conglomerate","0.6","Mega","US","Low Volatility","Value","None","1996","Diversified holdings; insurance-led conglomerate; NYSE listing."
"UNH","UnitedHealth Group Incorporated","NYSE","Health Care","Managed Care","0.74","Mega","US","Low Volatility","Growth","Growing","1984","Managed care leader; NYSE listing."
"JNJ","Johnson & Johnson","NYSE","Health Care","Pharmaceuticals","0.72","Mega","US","Low Volatility","Value","Stable","1944","Diversified healthcare; NYSE listing."
"V","Visa Inc.","NYSE","Financials","Payment Services","0.78","Mega","US","Low Volatility","Growth","Growing","2008","Global payments network; NYSE listing."
"MA","Mastercard Incorporated","NYSE","Financials","Payment Services","0.77","Mega","US","Low Volatility","Growth","Growing","2006","Global payments network; NYSE listing."
"JPM","JPMorgan Chase & Co.","NYSE","Financials","Banks","0.74","Mega","US","Medium Volatility","Value","Stable","1969","Bulge-bracket bank; NYSE listing."
"BAC","Bank of America Corporation","NYSE","Financials","Banks","0.6","Mega","US","Medium Volatility","Value","Stable","1970","US bank; NYSE listing."
"WFC","Wells Fargo & Company","NYSE","Financials","Banks","0.55","Large","US","Medium Volatility","Value","Stable","1962","US bank; NYSE listing."
"MS","Morgan Stanley","NYSE","Financials","Capital Markets","0.58","Large","US","Medium Volatility","Value","Moderate","1986","Investment bank; NYSE listing."
"GS","The Goldman Sachs Group, Inc.","NYSE","Financials","Capital Markets","0.6","Large","US","Medium Volatility","Value","Moderate","1999","Investment bank; NYSE listing."
"PEP","PepsiCo, Inc.","NASDAQ","Consumer Staples","Beverages","0.7","Mega","US","Low Volatility","Value","Stable","1919","Beverages and snacks; NASDAQ listing."
"KO","The Coca-Cola Company","NYSE","Consumer Staples","Beverages","0.7","Mega","US","Low Volatility","Value","Stable","1919","Beverage leader; NYSE listing."
"MCD","McDonald's Corporation","NYSE","Consumer Discretionary","Restaurants","0.7","Mega","US","Low Volatility","Value","Stable","1965","Global QSR leader; NYSE listing."
"HD","The Home Depot, Inc.","NYSE","Consumer Discretionary","Home Improvement Retail","0.72","Mega","US","Medium Volatility","Value","Stable","1981","Home improvement retail; NYSE listing."
"COST","Costco Wholesale Corporation","NASDAQ","Consumer Staples","Hypermarkets","0.68","Mega","US","Low Volatility","Growth","Moderate","1985","Membership warehouse clubs; NASDAQ listing."
"WMT","Walmart Inc.","NYSE","Consumer Staples","Hypermarkets","0.66","Mega","US","Low Volatility","Value","Stable","1970","Big-box retail leader; NYSE listing."
"DIS","The Walt Disney Company","NYSE","Communication Services","Entertainment","0.65","Mega","US","Medium Volatility","Value","None","1957","Media and parks; NYSE listing."
"NFLX","Netflix, Inc.","NASDAQ","Communication Services","Entertainment","0.68","Large","US","High Volatility","Growth|Momentum","None","2002","Streaming leader; NASDAQ listing."
"ADBE","Adobe Inc.","NASDAQ","Technology","Software","0.76","Mega","US","Medium Volatility","Growth","None","1986","Creative and digital experience software; NASDAQ listing."
"CRM","Salesforce, Inc.","NYSE","Technology","Software","0.74","Large","US","Medium Volatility","Growth","None","2004","Cloud CRM; NYSE listing."
"INTC","Intel Corporation","NASDAQ","Technology","Semiconductors","0.6","Large","US","Medium Volatility","Value","Stable","1971","CPU and foundry transition; NASDAQ listing."
"AMD","Advanced Micro Devices, Inc.","NASDAQ","Technology","Semiconductors","0.77","Large","US","High Volatility","Growth|Momentum","None","1972","Fabless CPU/GPU designer; NASDAQ listing."
"AVGO","Broadcom Inc.","NASDAQ","Technology","Semiconductors","0.75","Mega","US","Medium Volatility","Value","Growing","2009","Diverse semis and software; NASDAQ listing."
"QCOM","QUALCOMM Incorporated","NASDAQ","Technology","Semiconductors","0.65","Large","US","Medium Volatility","Growth","Stable","1991","Wireless chipsets and licensing; NASDAQ listing."
"CSCO","Cisco Systems, Inc.","NASDAQ","Technology","Communications Equipment","0.62","Large","US","Medium Volatility","Value","Stable","1990","Networking hardware/software; NASDAQ listing."
